set_id,design_id,label,inside_sweep_v2_box,stage_count,stage_pitch_m,wall_radius_m,wall_radius_over_pitch,x_w,i1_x_w,predicted_hemp_like_i1,magnet_inner_radius_m,magnet_radial_thickness_m,magnet_axial_fraction,source_strength_scale,exit_length_m,axis_null_count,wall_cusp_count,cell_count,four_wall_cusps,min_rho_conservative,max_rho_conservative,rho_conservative_per_cusp,rho_downstream_per_cusp,rho_wall_per_cusp,hemp_like_all_cusps,five_stage_four_cusp_hemp_like,wall_b3_over_b1,wall_b5_over_b1,angle_to_wall_normal_deg_max,stable,max_wall_intersection_shift_m,rho_resolution_sensitivity_max,v2_gates_passed,boundary_to_peak_ratio,topology_confidence,relative_residual_l2,centreline_abs_bz_peak_t,field_peak_t
sobol_v3,l1a-gs-v3-000-78dcc2bb4c,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,3,0.0035461824199956027,0.0030888981118550873,0.8710488480338576,2.736480661901019,3.1171312793288917,True,0.005545117431211111,0.003694837049394846,0.6284355281665921,0.9101228712475858,0.001010983579157505,2,2,3,False,1.512606292621774,1.525112506474769,1.512606292621774;1.525112506474769,2.7839823597359756;1.525112506474769,0.7726646824863795;0.7756637393251495,True,False,0.07805884568108112,0.04592712773765281,2.310408039147588,True,2.4697380011083105e-06,0.0020610625070231433,True,0.008704480212706745,0.9118702664955384,9.681217464409483e-11,0.03735609888863242,0.440937580405864
sobol_v3,l1a-gs-v3-001-5ec0e3ac02,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,4,0.00578014033180807,0.0014871250068608788,0.2572818169616472,0.8082746660689447,0.4380513141746175,False,0.0035801177655230276,0.0032064404516480866,0.5499210966937244,1.2690830378094689,0.003951840840068465,5,3,4,False,0.3841416109445065,0.40624985130819,0.3874073775166695;0.40624985130819;0.3841416109445065,0.3874073775166695;0.40624985130819;0.43376927503054086,0.3304349670099711;0.3465054795609317;0.3276485460634841,False,False,0.04572603306367881,0.004120947454275742,0.5418818819308152,True,2.3357260505652315e-05,0.006463163163878072,True,0.005369418429246847,0.942210083830433,9.997551952305824e-11,0.22051890149257108,0.7750656667756133
sobol_v3,l1a-gs-v3-002-e9169adb3a,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,5,0.004745635750623478,0.003641574495304667,0.7673522972820321,2.410708339856483,2.320627522305001,True,0.006801518071370083,0.004328956290427595,0.666793808620423,1.043461449665483,0.006023628573657969,4,3,4,False,1.2636303579536636,1.6804631082853114,1.2636303579536636;1.6804631082853114;1.6707334392722768,2.054458678808532;4.059895373184259;1.6707334392722768,0.7241086390833286;0.6351091489348032;0.6335002344714654,False,False,0.02180130797243295,0.012073309534420656,6.633244378582788,True,4.555084498080245e-06,0.01164853928479704,True,0.011468819774033523,0.9075789228175142,9.22022015341969e-11,0.05876819118323178,0.5553984727090846
sobol_v3,l1a-gs-v3-003-02641201e5,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,3,0.005428334425232606,0.00229069097986212,0.42198781438635535,1.3257138175805874,0.8195428093582565,False,0.004823543997190427,0.0024410712184384465,0.4987462836876511,0.8607486555585637,0.0006188791448405292,4,2,3,False,0.6641163760761061,0.6683790718221592,0.6683790718221592;0.6641163760761061,0.6683790718221592;0.8212171033243736,0.46791517782433917;0.46493097301884195,False,False,0.051637954251274716,0.012620188548915945,1.6723846330434249,True,2.5334135954988707e-06,0.007645441422691778,True,0.003527829763355459,0.9526177838429015,9.658982153610327e-11,0.06480241882820505,0.5743417281620234
sobol_v3,l1a-gs-v3-004-d109201128,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,3,0.004356634787654912,0.0024925123170760344,0.5721187197372822,1.7973639669078436,1.3138551863713264,False,0.004324777019064641,0.004785162120684982,0.5856061317957938,1.1203037963830866,0.0030877620769086,4,2,3,False,1.0487482616049022,1.0629666131982467,1.0629666131982467;1.0487482616049022,1.0629666131982467;1.1146258176329797,0.5943162183061981;0.5863665829699766,False,False,0.03989860435730176,0.008997910557608412,1.5475914653709197,True,2.258950907355929e-05,0.011911681093893128,True,0.013237692536223167,0.892402022408124,9.263728035908218e-11,0.12141137594166067,0.5016346919592025
sobol_v3,l1a-gs-v3-005-0e7f21e31d,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,5,0.0050272075495740864,0.0041835034999166965,0.8321724254792564,2.6143467784056313,2.7913859553813842,True,0.007289605583537195,0.0028229407149367035,0.6341174445301294,0.8000154717825353,0.000806814334273748,4,4,5,True,1.6350748461654772,2.1121175509043946,1.6350748461654772;2.1121175509043946;2.095750162399662;1.6408264515997495,2.345155877200054;4.277262307386146;2.095750162399662;1.6408264515997495,0.7635979040424925;0.6877191195015723;0.6839967915678702;0.7606266831187946,True,True,0.031054820349810372,0.017779358484805045,5.062970459738772,True,3.1766901074665316e-06,0.008998753666522336,True,0.005431335893764446,0.9467515163800643,9.809531298580096e-11,0.028017357512021748,0.517516333898405
sobol_v3,l1a-gs-v3-006-ea26a32ff8,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,5,0.003956374892368331,0.001984963458198763,0.5017126819876621,1.5761768759452712,1.0595089117070737,False,0.004904017068838584,0.004019281356502325,0.5191932886093855,0.9869694141321815,0.002272236120192203,6,4,5,True,0.7489468904645884,0.8102012955780362,0.7489468904645884;0.8102012955780362;0.7920196735730552;0.7592251121648669,0.949181925856984;1.5277406976174333;0.7920196735730552;0.7592251121648669,0.5614382958655317;0.5100972761619684;0.5006799712869557;0.5985047101608995,False,False,0.03848253055371212,0.01946724910944765,4.970324112953109,True,1.3638206168516132e-05,0.01836723005917227,True,0.008272838707231984,0.917524860153623,9.77786471738618e-11,0.059599947183207984,0.4373163524816238
sobol_v3,l1a-gs-v3-007-a79ca5265f,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,4,0.006178239781547745,0.003247309317885083,0.5256042874191558,1.6512345680513179,1.140852774418229,False,0.00594670532609598,0.0034575714765116574,0.7172450194694102,1.2083540502004326,0.004423128539826832,5,3,4,False,0.9975665005736888,1.1150447326635695,0.9975665005736888;1.1150447326635695;1.002393507046599,1.0869028547791135;1.1150447326635695;1.002393507046599,0.6203942323071634;0.6371702309463686;0.6189196862184786,False,False,0.010444081235081294,0.004518522542486356,0.46649275272227714,True,1.0068605967573658e-05,0.003693628767544251,True,0.008664626565688088,0.935068970989694,9.375587444871244e-11,0.11703598417967903,0.8019208745549657
sobol_v3,l1a-gs-v3-008-3cba38f11c,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,4,0.0048185904533966095,0.0039456946187783615,0.8188483036563221,2.5724878151711654,2.6876095167617464,True,0.006987213328102371,0.004906262707710266,0.525268425475806,1.1323273850488476,0.004380333936410728,3,3,4,False,1.2423229330529744,2.9118785647277954,1.2423229330529744;2.9118785647277954;1.244580439122583,3.2615002753359987;2.9118785647277954;1.244580439122583,0.6845915157834912;0.7637078772387076;0.8399708336673063,False,False,0.020971195022711372,0.01726298095451049,5.851598418995282,True,7.246593872779761e-06,0.009256232497998647,True,0.010597956184259431,0.9095181513721117,9.551157039103417e-11,0.05947575038710848,0.5255320693042547
sobol_v3,l1a-gs-v3-009-d0c686b4aa,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,4,0.005697481383322156,0.00268110438810254,0.4705771213137706,1.4783616272667746,0.9603708931687449,False,0.005042507229518378,0.0025910925111733377,0.6942502479627728,0.773490962642245,0.0,5,3,4,False,0.8985257644361204,0.9395075558850666,0.900656216725803;0.9395075558850666;0.8985257644361204,0.900656216725803;0.9395075558850666;0.915091480207062,0.5693407713078162;0.594423343385775;0.5684942986022317,False,False,0.008638599267341576,0.007689678629785765,0.9295486897621331,True,1.6455545226339192e-05,0.0058389499532102785,True,0.004589794336979872,0.9473295947044187,9.439052507074234e-11,0.06789179941987403,0.562990121441188
sobol_v3,l1a-gs-v3-010-f916331aa3,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,5,0.003668302307232807,0.003479821657492721,0.9486191066182147,2.980174816406696,3.8833590050749205,True,0.0062194944666771335,0.0042712903187610216,0.578564509190619,0.9989908965188079,0.0022709303360946846,4,4,5,True,1.4429680881441311,2.4515781533505767,1.4429680881441311;2.4515781533505767;2.4228877916924745;1.4556807350884766,3.388468363877566;32.14944710382191;2.4228877916924745;1.4556807350884766,0.7444629266407209;0.6416842419558091;0.6380917067493681;0.7923547427822262,False,False,0.044566162399382186,0.020214493902474828,11.163885236717432,True,3.5588211650498802e-06,0.01136985738364008,True,0.010101997960462048,0.9038982562830455,9.590640201844153e-11,0.0380657880713542,0.42156920853024427
sobol_v3,l1a-gs-v3-011-fa2db560b1,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,3,0.0060969735404796666,0.0017907303881656844,0.2937080793079516,0.922711144253829,0.5122281232834316,False,0.003544843589224911,0.0033573149079456927,0.6580205586366356,1.181831647339277,0.003752647503091702,4,2,3,False,0.4414764501402304,0.4415022729140369,0.4415022729140369;0.4414764501402304,0.4415022729140369;0.5590376440053285,0.36983800929167454;0.36981637804797574,False,False,0.008947925940215913,0.00811705675606241,1.215753677162188,True,4.783734194139036e-06,0.002282510137049027,True,0.007500517630469464,0.934015280781773,9.68727591898657e-11,0.2759589027825749,0.7658974396316215
sobol_v3,l1a-gs-v3-012-1f995ec7b9,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,False,3,0.004075496526638744,0.0015882057714406983,0.38969626426122045,1.224266920934437,0.7342090574768824,False,0.0035374948056414723,0.00381456991173327,0.6887988940626383,0.9373093159985728,0.001054206361192599,4,2,3,False,0.6029492191204268,0.60653043617749,0.60653043617749;0.6029492191204268,0.60653043617749;0.7072352630443948,0.4573025328671548;0.4546024216554845,False,False,0.03960645430337375,0.025277339116498206,1.7628736225510304,True,1.4352797729103722e-05,0.004566850860516008,True,0.008842110229331176,0.9191366560601323,9.48880515959963e-11,0.1443281550618972,0.5002722839740946
