design_key,design_id,set_id,label,sweep_index,representative,cell_id,cell_index,kind,position_class,z_start_m,z_end_m,length_m,launch_z_m,wall_area_m2,start_cusp_z_m,end_cusp_z_m,length_over_pitch,wall_mirror_ratio,axis_mirror_ratio,wall_b_min_t,axis_bz_peak_t,boundary_ambiguous,short_cell,launch_plane_inside_injector_zone,stage_count_selector,stage_pitch_m,magnet_axial_fraction,chamber_outer_radius_m,dielectric_thickness_m,radial_clearance_m,magnet_radial_thickness_m,source_strength_scale,exit_length_fraction,exit_expansion_descriptor,first_polarity_selector,wall_radius_m,chamber_length_m,injector_length_m,exit_start_m,stage_count,stage_pitch_represented_m,has_divergent_exit,bore_max_b_t,interpolation_b_relative_rms,cross_resolution_b_relative_rms,n_stage1,wall_stage1,wilson_width_stage1,topped_up,n_stage2,wall_stage2,n_final,wall_final,reflected_final,escape_final,timeout_final,p_wall,p_wall_lower,p_wall_upper,p_reflected,p_escape,p_timeout,wilson_width_final,binomial_floor,jeffreys_floor,surrogate_ready,n_control,wall_N_control,wall_2N_control,delta_p_control,discordant_control,design_p_wall_area_weighted,design_p_wall_launch_weighted,design_control_delta_p,design_timestep_passed,v1_p_wall_2N,sealed,structural_gates_passed,accepted_field_identity_sha256,catalogue_accepted_field_identity_sha256
l1a-gs-v2-001-0830ddda40,0830ddda40f52db1ff87791cc15471c5d74dada8e035f0abe31a1530716c4348,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,1,False,cell-04,3,exit_partial,exit_side,0.019357758291711283,0.0234,0.004042241708288718,0.021378879145855643,5.587593816109401e-05,0.019357758291711283,,0.6218833397367258,1.0,0.559256290197612,0.12223222958159985,0.21856210063977888,False,False,False,1.0,0.0065,0.72,0.0022,0.0009,0.0008,0.004,1.3,0.28,1.0,1.0,0.0022,0.0325,0.0026000000000000003,0.0234,5,0.0065,True,0.2978735747575628,0.0036540761444286383,0.002345603596443936,128,64,0.17069550747898554,True,384,192,512,256,128,128,0,0.5,0.45685206921855137,0.5431479307814486,0.25,0.25,0.0,0.08629586156289726,0.02209708691207961,0.02209708691207961,False,64,33,33,0.0,0,0.8534795568068271,0.71015625,0.0,True,0.75,True,True,2dcb3b38c3f221837fc78410fd7b7593610f95cbadcf7ff3a0e13790f04b3ff6,8454e0b2dd2eb1c81c1591fceec23c039082b60f9146fa3708dd9453d0ee33c0
l1a-gs-v2-002-48c4d2e317,48c4d2e31721b5eb184862751e07baca19ec2b81b42dfbb6c20b614ee9659949,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,2,False,cell-01,0,anode_partial,anode_side,0.0,0.00500805686984908,0.00500805686984908,0.00250402843492454,5.663978881587995e-05,,0.00500805686984908,0.9724382271551612,1.277038327782693,0.6282317078877385,0.07022945862770126,0.1427589681974947,False,False,False,0.5,0.00515,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.0206,0.0016480000000000002,0.017716,4,0.00515,True,0.23633055710488796,0.005517986030914904,0.0022134019341323095,128,125,0.05864132865467675,False,0,0,128,125,0,3,0,0.9765625,0.9333562549485678,0.9919975836032445,0.0,0.0234375,0.0,0.05864132865467675,0.01337213275159097,0.014360223193099752,True,16,15,15,0.0,0,0.9334418301577495,0.7109375,0.0,True,0.658203125,True,True,8ee48789281ab24a5e416ca75f0627ab9b4762230b5a64cc34ad2f71906fe2c3,ab96aaf86c702d9e919b87e257d338beed122f8d907e5a94a7c4da54e7cde041
l1a-gs-v2-002-48c4d2e317,48c4d2e31721b5eb184862751e07baca19ec2b81b42dfbb6c20b614ee9659949,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,2,False,cell-02,1,interior,interior,0.00500805686984908,0.010300652063986056,0.005292595194136976,0.007654354466917568,5.9857841449171326e-05,0.00500805686984908,0.010300652063986056,1.0276883872110634,1.0,0.5797071055733443,0.08968571040700345,0.15470866157195387,False,False,False,0.5,0.00515,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.0206,0.0016480000000000002,0.017716,4,0.00515,True,0.23633055710488796,0.005517986030914904,0.0022134019341323095,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.9334418301577495,0.7109375,0.0,True,0.658203125,True,True,8ee48789281ab24a5e416ca75f0627ab9b4762230b5a64cc34ad2f71906fe2c3,ab96aaf86c702d9e919b87e257d338beed122f8d907e5a94a7c4da54e7cde041
l1a-gs-v2-002-48c4d2e317,48c4d2e31721b5eb184862751e07baca19ec2b81b42dfbb6c20b614ee9659949,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,2,False,cell-03,2,interior,interior,0.010300652063986056,0.01559246359192356,0.005291811527937503,0.012946557827954808,5.984897839326085e-05,0.010300652063986056,0.01559246359192356,1.027536219016991,1.0,0.5770309280547664,0.08940178716344309,0.15493413405902898,False,False,False,0.5,0.00515,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.0206,0.0016480000000000002,0.017716,4,0.00515,True,0.23633055710488796,0.005517986030914904,0.0022134019341323095,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.9334418301577495,0.7109375,0.0,True,0.658203125,True,True,8ee48789281ab24a5e416ca75f0627ab9b4762230b5a64cc34ad2f71906fe2c3,ab96aaf86c702d9e919b87e257d338beed122f8d907e5a94a7c4da54e7cde041
l1a-gs-v2-002-48c4d2e317,48c4d2e31721b5eb184862751e07baca19ec2b81b42dfbb6c20b614ee9659949,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,2,False,cell-04,3,exit_partial,exit_side,0.01559246359192356,0.017716,0.0021235364080764395,0.01665423179596178,2.4016630965276238e-05,0.01559246359192356,,0.4123371666167844,1.0042927402033532,0.6283741121182825,0.08901964893756042,0.14227477777858308,False,False,False,0.5,0.00515,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.0206,0.0016480000000000002,0.017716,4,0.00515,True,0.23633055710488796,0.005517986030914904,0.0022134019341323095,128,64,0.17069550747898554,True,384,192,512,256,128,128,0,0.5,0.45685206921855137,0.5431479307814486,0.25,0.25,0.0,0.08629586156289726,0.02209708691207961,0.02209708691207961,False,64,31,31,0.0,0,0.9334418301577495,0.7109375,0.0,True,0.658203125,True,True,8ee48789281ab24a5e416ca75f0627ab9b4762230b5a64cc34ad2f71906fe2c3,ab96aaf86c702d9e919b87e257d338beed122f8d907e5a94a7c4da54e7cde041
l1a-gs-v2-003-b98d8da7bf,b98d8da7bf54e83e8c9fe1d1750ff604a5d8e7d87c6d86e0675f8a13d0e61cef,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,3,False,cell-01,0,anode_partial,anode_side,0.0,0.0062740037839960254,0.0062740037839960254,0.0031370018919980127,8.67256024641445e-05,,0.0062740037839960254,0.965231351384004,1.919798520975172,0.5077992670339517,0.03718621068957242,0.14058711171345406,False,False,False,0.0,0.0065,0.48,0.0022,0.0005,0.0008,0.0022,1.3,0.0,1.0,0.0,0.0022,0.0195,0.00156,0.0195,3,0.0065,False,0.27765149990249494,0.004195563780468064,0.0024011137028671983,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,1.0,1.0,0.0,True,0.78515625,True,True,e7193869143a82144f84ca8ad6c6333cfd3e67d9385451c93c4ded2e508295ac,34a12603d8cfe48fee3ae45c565e2aa42e746f53659bb25222ca7d68ec6c39fb
l1a-gs-v2-003-b98d8da7bf,b98d8da7bf54e83e8c9fe1d1750ff604a5d8e7d87c6d86e0675f8a13d0e61cef,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,3,False,cell-02,1,interior,interior,0.0062740037839960254,0.01323013126362025,0.006956127479624224,0.009752067523808137,9.61546035446548e-05,0.0062740037839960254,0.01323013126362025,1.0701734584037268,1.001783206062176,0.4067878338652305,0.07074674838091383,0.1742257228739693,False,False,False,0.0,0.0065,0.48,0.0022,0.0005,0.0008,0.0022,1.3,0.0,1.0,0.0,0.0022,0.0195,0.00156,0.0195,3,0.0065,False,0.27765149990249494,0.004195563780468064,0.0024011137028671983,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,1.0,1.0,0.0,True,0.78515625,True,True,e7193869143a82144f84ca8ad6c6333cfd3e67d9385451c93c4ded2e508295ac,34a12603d8cfe48fee3ae45c565e2aa42e746f53659bb25222ca7d68ec6c39fb
l1a-gs-v2-003-b98d8da7bf,b98d8da7bf54e83e8c9fe1d1750ff604a5d8e7d87c6d86e0675f8a13d0e61cef,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,3,False,cell-03,2,exit_partial,exit_side,0.01323013126362025,0.0195,0.00626986873637975,0.016365065631810123,8.666844366920495e-05,0.01323013126362025,,0.9645951902122694,1.9190057553331679,0.5034968553694557,0.036932095807707115,0.14076136455609206,False,False,False,0.0,0.0065,0.48,0.0022,0.0005,0.0008,0.0022,1.3,0.0,1.0,0.0,0.0022,0.0195,0.00156,0.0195,3,0.0065,False,0.27765149990249494,0.004195563780468064,0.0024011137028671983,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,1.0,1.0,0.0,True,0.78515625,True,True,e7193869143a82144f84ca8ad6c6333cfd3e67d9385451c93c4ded2e508295ac,34a12603d8cfe48fee3ae45c565e2aa42e746f53659bb25222ca7d68ec6c39fb
l1a-gs-v2-004-72b1c5ba70,72b1c5ba70dda77968f225021cdd8eb66bfab17b1a901bfc6ec33fa54e3fbf88,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,4,False,cell-01,0,anode_partial,anode_side,0.0,0.0036489590361336805,0.0036489590361336805,0.0018244795180668402,3.2097920123269455e-05,,0.0036489590361336805,0.9602523779299158,1.0108235572830129,0.6563534349691225,0.09017701944468938,0.13887800493426009,False,False,False,1.0,0.0038,0.72,0.0014,0.0009,0.00035,0.004,0.75,0.28,0.0,1.0,0.0014,0.019000000000000003,0.0015200000000000003,0.013680000000000001,5,0.0038000000000000004,True,0.24485934136581272,0.008713927067656722,0.006075588696864168,128,96,0.14854278090958317,True,384,282,512,378,0,134,0,0.73828125,0.6985321963804407,0.7744813542516229,0.0,0.26171875,0.0,0.07594915787118217,0.019426446108215104,0.019437559620965703,True,64,52,52,0.0,0,0.8419498860657233,0.6953125,0.0,True,0.736328125,True,True,08d372d05630929e576ff64c1c9b97e94d67c92be9b67d7258c076ee5ebb766f,4d87bce98d67ebfe2d7d05bd6aeb06b5e946e255835c9eb7ca79c0ddd40d0d2c
l1a-gs-v2-004-72b1c5ba70,72b1c5ba70dda77968f225021cdd8eb66bfab17b1a901bfc6ec33fa54e3fbf88,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,4,False,cell-02,1,interior,interior,0.0036489590361336805,0.00773754337163568,0.004088584335502,0.00569325120388468,3.596506623358709e-05,0.0036489590361336805,0.00773754337163568,1.0759432461847367,1.0008854613490858,0.6004738287379826,0.08904423368821329,0.14842125443304227,False,False,False,1.0,0.0038,0.72,0.0014,0.0009,0.00035,0.004,0.75,0.28,0.0,1.0,0.0014,0.019000000000000003,0.0015200000000000003,0.013680000000000001,5,0.0038000000000000004,True,0.24485934136581272,0.008713927067656722,0.006075588696864168,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.8419498860657233,0.6953125,0.0,True,0.736328125,True,True,08d372d05630929e576ff64c1c9b97e94d67c92be9b67d7258c076ee5ebb766f,4d87bce98d67ebfe2d7d05bd6aeb06b5e946e255835c9eb7ca79c0ddd40d0d2c
